EC-Lab ASCII FILE
Nb header lines : 53                          

Cyclic Voltammetry

Run on channel : 1 (SN 24330)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10/05/2017 17:30:03
Saved on :
	File : Co_13_200mV_01_CV_02_CV_02_CV_C01.mpr
	Directory : C:\Users\usuario\Documents\EC-Lab\Data\Federico\R=H\CO2 reduction\CV_scan rates CO2_0,4 mM_GC 1mm_5-10-2017\
	Host : 192.168.1.115
Device : VSP (SN 1463)
Address : USB
EC-Lab for windows v11.10 (software)
Internet server v11.10 (firmware)
Command interpretor v11.10 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Ei (V)              0,100               
vs.                 Ref                 
dE/dt               200,000             
dE/dt unit          mV/s                
E1 (V)              -1,870              
vs.                 Ref                 
Step percent        50                  
N                   20                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              1,000               
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	Rcmp/Ohm	P/W
2	0	0	0	0	2,2732	0,0999838337	0,100583836	0,0002801434602588415	1	0	338,910065	2,81779045E-008
2	0	0	1	0	2,2795	0,0987237766	0,0981071368	-5,0274789598989331E-005	1	-3,21005111E-010	338,910034	4,93231544E-009
2	0	0	1	0	2,2915	0,0963237807	0,0957075655	-4,7019193735359277E-005	1	-8,65808314E-010	338,910034	4,50009274E-009
2	0	0	1	0	2,3035	0,0939237848	0,0933274627	-4,8046042830188986E-005	1	-1,41434175E-009	338,910034	4,48401538E-009
2	0	0	1	0	2,3155	0,0915237814	0,0909214318	-5,0417175415623949E-005	1	-1,9760007E-009	338,910034	4,58400162E-009
2	0	0	1	0	2,3275	0,0891237855	0,0885082036	-5,0826742240243136E-005	1	-2,55764721E-009	338,910034	4,49858373E-009
2	0	0	1	0	2,3395	0,0867237821	0,0861202851	-5,2718789845834342E-005	1	-3,14374304E-009	338,910034	4,54015714E-009
2	0	0	1	0	2,3515	0,0843237862	0,0836984888	-5,2278233626991347E-005	1	-3,75045017E-009	338,910034	4,37560921E-009
2	0	0	1	0	2,3635	0,0819237903	0,0813311711	-5,328832857661543E-005	1	-4,35704939E-009	338,910034	4,33400205E-009
2	0	0	1	0	2,3755	0,0795237869	0,0789010376	-5,5177866647981248E-005	1	-4,98171993E-009	338,910034	4,35359082E-009
2	0	0	1	0	2,3875	0,077123791	0,0765041113	-5,5353753095126637E-005	1	-5,61684255E-009	338,910034	4,23478985E-009
2	0	0	1	0	2,3995	0,0747237951	0,0740863085	-5,6419126233451469E-005	1	-6,26015773E-009	338,910034	4,17988488E-009
2	0	0	1	0	2,4115	0,0723237917	0,0717258081	-5,705567493576144E-005	1	-6,91268331E-009	338,910034	4,09236423E-009
2	0	0	1	0	2,4235	0,0699237958	0,0692996979	-5,8026407901834253E-005	1	-7,57155583E-009	338,910034	4,0212127E-009
